date,weekday,high_f,low_f,precip_in,cloud_pct,sunrise,sunset,conditions
2015-10-15,Thu,69,51,0.0,1,7:17 AM,6:35 PM,Clear
2015-10-16,Fri,66,53,0.01,36,7:18 AM,6:33 PM,Light drizzle
2015-10-17,Sat,65,46,0.0,17,7:19 AM,6:32 PM,Partly cloudy
2015-10-18,Sun,55,41,0.0,0,7:20 AM,6:31 PM,Clear
2015-10-19,Mon,56,39,0.0,0,7:21 AM,6:29 PM,Clear
2015-10-20,Tue,66,40,0.0,14,7:22 AM,6:28 PM,Overcast
2015-10-21,Wed,71,44,0.0,10,7:23 AM,6:27 PM,Partly cloudy
2015-10-22,Thu,74,48,0.0,10,7:24 AM,6:25 PM,Partly cloudy
2015-10-23,Fri,74,54,0.0,14,7:25 AM,6:24 PM,Overcast
2015-10-24,Sat,66,52,0.0,62,7:26 AM,6:23 PM,Overcast
2015-10-25,Sun,72,55,0.0,93,7:27 AM,6:22 PM,Overcast
2015-10-26,Mon,61,54,0.0,100,7:28 AM,6:21 PM,Overcast
2015-10-27,Tue,61,53,0.4,100,7:28 AM,6:20 PM,Rain
2015-10-28,Wed,72,59,0.27,96,7:29 AM,6:18 PM,Light rain
2015-10-29,Thu,74,65,0.04,86,7:30 AM,6:17 PM,Drizzle
2015-10-30,Fri,64,52,0.0,6,7:31 AM,6:16 PM,Partly cloudy
2015-10-31,Sat,61,44,0.0,47,7:32 AM,6:15 PM,Overcast
2015-11-01,Sun,62,55,0.2,97,6:33 AM,5:14 PM,Drizzle
2015-11-02,Mon,61,59,1.33,98,6:34 AM,5:13 PM,Rain
2015-11-03,Tue,67,56,0.02,78,6:35 AM,5:12 PM,Light drizzle
2015-11-04,Wed,66,56,0.1,92,6:36 AM,5:11 PM,Drizzle
2015-11-05,Thu,70,62,0.01,74,6:37 AM,5:10 PM,Light drizzle
2015-11-06,Fri,76,60,0.0,79,6:38 AM,5:09 PM,Overcast
2015-11-07,Sat,74,58,0.28,94,6:39 AM,5:08 PM,Rain
2015-11-08,Sun,58,51,0.0,98,6:40 AM,5:07 PM,Overcast
2015-11-09,Mon,63,49,1.15,100,6:41 AM,5:07 PM,Rain
2015-11-10,Tue,63,56,0.3,78,6:43 AM,5:06 PM,Rain
2015-11-11,Wed,66,50,0.0,15,6:44 AM,5:05 PM,Partly cloudy
